iteration,reviews_before,reviews_after,users_before,users_after,items_before,items_after
1,17328314,8031529,6503429,726003,747764,286005
2,8031529,7692825,726003,691611,286005,207596
3,7692825,7593633,691611,669790,207596,203495
4,7593633,7576451,669790,668250,203495,200655
5,7576451,7570969,668250,667120,200655,200400
6,7570969,7569743,667120,667014,200400,200196
7,7569743,7569218,667014,666903,200196,200175
8,7569218,7569108,666903,666896,200175,200154
9,7569108,7569076,666896,666890,200154,200152
10,7569076,7569072,666890,666889,200152,200152
11,7569072,7569068,666889,666889,200152,200151
12,7569068,7569068,666889,666889,200151,200151
